"","author","division","isbn","onsaledate","pages","priceusa","agerangecode","category"
"1","ACHEBE, CHINUA","Knopf","9780307592705","01/05/2010","536","30.00","0","FIC"
"2","TILLWORTH, MARY","RH Childrens Books","9780375857331","01/05/2010","24","4.99","0307","JUV"
"3","FLANAGAN, JOHN","Penguin Young Readers","9780399252051","01/05/2010","384","18.99","10UP","JUV"
"4","GILBERT, ELIZABETH","Penguin Adult HC/TR","9780670021659","01/05/2010","304","26.95","0","BIO"
"5","RH DISNEY","RH Childrens Books","9780736426701","01/05/2010","24","4.99","0307","JUV"
"6","DIXON, CHUCK","IDW Publishing","9781600105777","01/05/2010","152","19.99","0","CGN"
"7","BILDNER, PHIL","Penguin Young Readers","9780399247897","01/07/2010","32","17.99","0508","JUV"
"8","REYNOLDS, AARON","Penguin Young Readers","9780399250910","01/07/2010","32","16.99","0608","JUV"
"9","CHAPMAN, MARTIN","Prestel Publishing","9783791350158","01/10/2010","176","34.95","0","ANT"
"10","NERUDA, PABLO","Knopf","9780307474742","01/12/2010","160","15.00","0","POE"
"11","BOLDEN, TONYA","RH Childrens Books","9780375852145","01/12/2010","144","19.99","12UP","YAN"
"12","MCHUGH, GELOLO","RH Childrens Books","9780375854606","01/12/2010","24","4.99","0307","JUV"
"13","DITCHFIELD, CHRISTIN","RH Childrens Books","9780375854613","01/12/2010","24","4.99","0307","JNF"
"14","WATSON, JANE WERNER","RH Childrens Books","9780375854866","01/12/2010","24","4.99","0307","JNF"
"15","HOLM, JENNIFER L.","RH Childrens Books","9780375957130","01/12/2010","96","12.99","0710","JUV"
"16","SIEGEL, DANIEL J.","Bantam Dell","9780553804706","01/12/2010","336","28.00","0","OCC"
"17","TEITELBAUM, MICHAEL","RH Childrens Books","9780736426565","01/12/2010","80","6.99","0307","JUV"
"18","TAVARES, MATT","Candlewick","9780763632243","01/12/2010","40","16.99","0812","JNF"
"19","BLAIR, MARGARET WHITMAN","National Geographic Society","9781426305900","01/12/2010","64","18.95","10UP","JNF"
"20","BOWERS, RICK","National Geographic Society","9781426305955","01/12/2010","128","16.95","12UP","YAN"
"21","BOWERS, RICK","National Geographic Society","9781426305962","01/12/2010","128","26.90","12UP","YAN"
"22","STEWART, MELISSA","National Geographic Society","9781426306099","01/12/2010","32","14.90","0406","JNF"
"23","SCHREIBER, ANNE","National Geographic Society","9781426306112","01/12/2010","32","14.90","0508","JNF"
"24","CROY, ELDEN","National Geographic Society","9781426306327","01/12/2010","64","27.90","10UP","JNF"
"25","BARKER, CATHERINE","National Geographic Society","9781426306334","01/12/2010","64","27.90","10UP","JNF"
"26","LAOR, YITZHAK","Verso Books","9781844673148","01/12/2010","192","22.95","0","HIS"
"27","ADLER, DAVID A.","Holiday House","9780823420070","01/15/2010","32","17.95","0408","JNF"
"28","ADLER, DAVID A.","Holiday House","9780823420568","01/15/2010","144","21.95","10UP","JNF"
"29","COX, JUDY","Holiday House","9780823421947","01/15/2010","32","16.95","0408","JUV"
"30","ADLER, DAVID A.","Holiday House","9780823421992","01/15/2010","32","17.95","0609","JNF"
"31","CAMPBELL, EDDIE","IDW Publishing","9781603090476","01/18/2010","640","49.95","0","CGN"
"32","MCMANUS, GEORGE","IDW Publishing","9781600105081","01/19/2010","272","49.99","0","HUM"
"33","MILLS, PAT","Titan","9781845767976","01/19/2010","112","19.95","0","CGN"
"34","MARSHALL, JOHN","The Library of America","9781598530643","01/21/2010","928","40.00","0","LAW"
"35","MYSTERY","Ballantine Group","9780345518194","01/26/2010","272","25.00","0","PSY"
"36","SURGAL, JON","RH Childrens Books","9780375856396","01/26/2010","48","9.99","0406","JUV"
"37","ZIEHER, SCOTT","powerHouse Books","9781576875223","01/26/2010","108","24.95","0","PHO"
"38","GODIN, SETH","Penguin Adult HC/TR","9781591843160","01/26/2010","256","26.95","0","BUS"
"39","GOULD, CHESTER","IDW Publishing","9781600105326","01/26/2010","264","39.99","0","CGN"
"40","HAMPSON, FRANK","Titan","9781848563728","01/26/2010","96","24.95","0","CGN"
"41","AJMERA, MAYA","Charlesbridge","9781570914584","02/01/2010","32","16.95","0408","JNF"
"42","SAYRE, APRIL PULLEY","Charlesbridge","9781570917332","02/01/2010","32","16.95","0307","JNF"
"43","RIES, LORI","Charlesbridge","9781570919343","02/01/2010","48","13.95","0408","JUV"
"44","RUBALCABA, JILL","Charlesbridge","9781580891646","02/01/2010","192","18.95","10UP","JNF"
"45","TRAPANI, IZA","Charlesbridge","9781580892483","02/01/2010","36","16.95","0408","JUV"
"46","WOLF, SALLIE","Charlesbridge","9781580893183","02/01/2010","48","11.95","0","NAT"
"47","BLACKABY, SUSAN","Charlesbridge","9781580893503","02/01/2010","60","15.95","0912","JNF"
"48","BRIMNER, LARRY DANE","Thinkingdom","9781590786130","02/01/2010","48","18.99","00UP","JNF"
"49","WILLIAMS, KAREN","Thinkingdom","9781590787120","02/01/2010","32","17.95","00UP","JUV"
"50","TRINKLEIN, MICHAEL J.","Quirk Books","9781594744105","02/01/2010","160","24.95","0","HIS"
"51","GOREN, VIOLA","Charlesbridge","9781936140046","02/01/2010","144","18.95","0","CKB"
"52","DUBRIN, BEVERLY","Charlesbridge","9781936140053","02/01/2010","144","18.95","0","CKB"
"53","FRASER, GEORGE MACDONALD","Knopf","9780307592682","02/02/2010","912","30.00","0","FIC"
"54","SKLOOT, REBECCA","Crown","9781400052172","02/02/2010","384","28.00","0","SCI"
"55","MILLER, LEONARD T.","Seven Stories Press","9781583228968","02/02/2010","336","24.95","0","SPO"
"56","CANETTI, VEZA","Other Press","9781590512975","02/02/2010","448","24.95","0","LCO"
"57","GROYS, BORIS","Verso Books","9781844674305","02/02/2010","160","19.95","0","PHI"
"58","VERNON, URSULA","Penguin Young Readers","9780803733657","02/04/2010","208","13.99","0812","JUV"
"59","KELLY, KEVIN","Berrett-Koehler","9781605095400","02/08/2010","192","19.95","0","BUS"
"60","WINTER, JONAH","RH Childrens Books","9780375852183","02/09/2010","40","17.99","0408","JNF"
"61","GOTTFRIED, MAYA","RH Childrens Books","9780375861185","02/09/2010","40","17.99","0508","JNF"
"62","BRETT, JAN","Penguin Young Readers","9780399252389","02/09/2010","32","18.99","0305","JUV"
"63","KUMIN, MAXINE","Candlewick","9780763634322","02/09/2010","56","16.99","0205","JUV"
"64","MCDONALD, MEGAN","Candlewick","9780763648503","02/09/2010","160","16.99","0609","JUV"
"65","MCDONALD, MEGAN","Candlewick","9780763648527","02/09/2010","160","16.99","0609","JUV"
"66","MCDONALD, MEGAN","Candlewick","9780763648541","02/09/2010","144","16.99","0609","JUV"
"67","MCDONALD, MEGAN","Candlewick","9780763648565","02/09/2010","144","15.99","0609","JUV"
"68","MCDONALD, MEGAN","Candlewick","9780763648589","02/09/2010","160","15.99","0609","JUV"
"69","MCDONALD, MEGAN","Candlewick","9780763648602","02/09/2010","160","16.99","0609","JUV"
"70","MCDONALD, MEGAN","Candlewick","9780763648626","02/09/2010","176","15.99","0609","JUV"
"71","MCDONALD, MEGAN","Candlewick","9780763648640","02/09/2010","176","15.99","0609","JUV"
"72","CHARTERS, JANE","Candlewick","9780763648756","02/09/2010","48","16.99","00UP","JUV"
"73","HARTT-SUSSMAN, HEATHER","Tundra","9780887769115","02/09/2010","32","17.95","0406","JUV"
"74","TOWELL, ANN","Tundra","9780887769832","02/09/2010","240","17.95","12UP","YAF"
"75","DK","DK.","9780756658694","02/15/2010","192","18.00","0","GAR"
"76","HEATH, CHIP","Crown","9780385528757","02/16/2010","320","29.00","0","BUS"
"77","HALKIN, HILLEL","Knopf","9780805242065","02/16/2010","368","25.00","0","BIO"
"78","WHITE, MEL","National Geographic Society","9781426205279","02/16/2010","528","40.00","0","TRV"
"79","SALINA, IRENA","National Geographic Society","9781426205729","02/16/2010","304","26.00","0","NAT"
"80","JENKINS, MARK COLLINS","National Geographic Society","9781426206078","02/16/2010","256","25.00","0","SOC"
"81","BURG, BOB","Penguin Adult HC/TR","9781591843085","02/18/2010","208","24.00","0","BUS"
"82","JANNI, REBECCA","Penguin Young Readers","9780525421641","02/23/2010","32","17.99","0305","JUV"
"83","KOOSER, TED","Candlewick","9780763630010","02/23/2010","48","17.99","0508","JUV"
"84","DORION, CHRISTIAN","Candlewick","9780763648015","02/23/2010","18","21.99","0710","JNF"
"85","AGUILAR, DAVID A.","National Geographic Society","9781426306013","02/23/2010","48","16.95","0709","JNF"
"86","AGUILAR, DAVID A.","National Geographic Society","9781426306020","02/23/2010","48","25.90","0709","JNF"
"87","RUMBAUGH, MARGARET G.","Berrett-Koehler","9781567262735","03/01/2010","509","138.95","0","BUS"
"88","BLOOM, SUZANNE","Thinkingdom","9781590785287","03/01/2010","32","16.95","0103","JUV"
"89","CRAWLEY, DAVE","Thinkingdom","9781590785652","03/01/2010","32","17.95","0205","JNF"
"90","CAMPBELL, SARAH C.","Thinkingdom","9781590787526","03/01/2010","32","17.99","00UP","JNF"
"91","LAMSTEIN, SARAH MARWIL","Thinkingdom","9781932425987","03/01/2010","40","17.95","0205","JUV"
"92","COLLINS, JUDY","Charlesbridge","9781936140008","03/01/2010","26","19.99","0509","JUV"
"93","WALLACE, PAULA S.","Potter/TenSpeed/Harmony/Rodale","9780307460240","03/02/2010","224","35.00","0","HOM"
"94","ARROYO, RAYMOND","Christian/Forum","9780307588258","03/02/2010","208","17.00","0","REL"
"95","TESDELL, DIANA SECKER","Knopf","9780307592651","03/02/2010","416","19.00","0","FIC"
"96","MILLAY, EDNA ST. VINCENT","Knopf","9780307592668","03/02/2010","224","14.95","0","POE"
"97","BROWN, ELAINE MERYL","Random House Group","9780345518484","03/02/2010","176","25.00","0","BUS"
"98","SKEWES, JOHN","Sasquatch Books","9781570616204","03/02/2010","32","17.99","0307","JUV"
"99","SALMON, CHRISTIAN","Verso Books","9781844673919","03/02/2010","192","24.95","0","SOC"
"100","SINGER, MARILYN","Penguin Young Readers","9780525479017","03/04/2010","32","17.99","0609","JUV"
"101","KHAN, RUKHSANA","Penguin Young Readers","9780670062874","03/04/2010","40","17.99","0408","JUV"
"102","FISHER FISHKIN, SHELLEY","The Library of America","9781598530650","03/04/2010","512","35.00","0","LCO"
"103","TWAIN, MARK","The Library of America","9781598530667","03/04/2010","1050","40.00","0","TRV"
"104","EMERSON, RALPH WALDO","The Library of America","9781598530674","03/04/2010","992","45.00","0","BIO"
"105","FRIED, JASON","Crown","9780307463746","03/09/2010","288","27.00","0","BUS"
"106","BOTTNER, BARBARA","RH Childrens Books","9780375846823","03/09/2010","32","17.99","0307","JUV"
"107","KOERTGE, RON","Candlewick","9780763644352","03/09/2010","176","15.99","12UP","YAF"
"108","AHLBERG, ALLAN","Candlewick","9780763646820","03/09/2010","64","15.99","0205","JNF"
"109","PINFOLD, LEVI","Candlewick","9780763647889","03/09/2010","40","16.99","0509","JUV"
"110","NELSON, JANDY","Penguin Young Readers","9780803734951","03/09/2010","288","17.99","14UP","YAF"
"111","BROOKER, SUZANNE","Potter/TenSpeed/Harmony/Rodale","9780823099276","03/09/2010","208","35.00","0","ART"
"112","COLLINS-PHILIPPE, JANE","Tundra","9780887768422","03/09/2010","32","15.95","0307","JUV"
"113","JOCELYN, MARTHE","Tundra","9780887769702","03/09/2010","24","15.95","0205","JNF"
"114","OLSON, TOD","National Geographic Society","9781426305245","03/09/2010","48","18.95","0812","JUV"
"115","ANNINO, J.G.","National Geographic Society","9781426305924","03/09/2010","48","17.95","0609","JNF"
"116","ANNINO, J.G.","National Geographic Society","9781426305931","03/09/2010","48","26.90","0609","JNF"
"117","ARONSON, MARC","National Geographic Society","9781426305993","03/09/2010","64","17.95","10UP","JNF"
"118","ARONSON, MARC","National Geographic Society","9781426306006","03/09/2010","64","26.90","10UP","JNF"
"119","RIZZO, JOHNNA","National Geographic Society","9781426306860","03/09/2010","64","14.95","0812","JNF"
"120","RIZZO, JOHNNA","National Geographic Society","9781426307249","03/09/2010","64","24.90","0812","JNF"
"121","TASHLIN, FRANK","New York Review Books","9781590173442","03/09/2010","64","16.95","0408","JUV"
"122","WOOD, ASHLEY","IDW Publishing","9781600105678","03/09/2010","48","11.99","0","ART"
"123","HOMER","Penguin Adult HC/TR","9780141192444","03/10/2010","416","25.00","0","POE"
"124","STEVENSON, ROBERT LOUIS","Penguin Adult HC/TR","9780141192451","03/10/2010","240","23.00","0","FIC"
"125","CARROLL, LEWIS","Penguin Adult HC/TR","9780141192468","03/10/2010","448","24.00","0","FIC"
"126","AUSTEN, JANE","Penguin Adult HC/TR","9780141192475","03/10/2010","512","24.00","0","FIC"
"127","LAWRENCE, D. H.","Penguin Adult HC/TR","9780141192482","03/10/2010","400","20.00","0","FIC"
"128","HILL, GEOFFREY E.","National Geographic Society","9781426205712","03/16/2010","256","27.50","0","NAT"
"129","SARTORE, JOEL","National Geographic Society","9781426205750","03/16/2010","160","24.00","0","PHO"
"130","RODALE, MARIA","Potter/TenSpeed/Harmony/Rodale","9781605294858","03/16/2010","224","23.99","0","TEC"
"131","SCHULZE, INGO","Knopf","9780307271044","03/23/2010","288","25.95","0","FIC"
"132","CUSIMANO LOVE, MARYANN","Penguin Young Readers","9780399247521","03/23/2010","32","17.99","0305","JUV"
"133","WOOD, DOUGLAS","Candlewick","9780763610906","03/23/2010","32","16.99","0408","JNF"
"134","GORBACHEV, VALERI","Candlewick","9780763636753","03/23/2010","32","15.99","0307","JUV"
"135","MARSDEN, CAROLYN","Candlewick","9780763637392","03/23/2010","176","14.99","10UP","JUV"
"136","KORDA, LERRYN","Candlewick","9780763648138","03/23/2010","26","8.99","0003","JUV"
"137","SARANO, FRANCOIS","National Geographic Society","9781426206269","03/23/2010","320","35.00","0","NAT"
"138","TUCHMAN, GAIL","National Geographic Society","9781426306136","03/23/2010","24","14.90","0205","JNF"
"139","TUCHMAN, GAIL","National Geographic Society","9781426306150","03/23/2010","24","13.90","0205","JNF"
"140","STEWART, MELISSA","National Geographic Society","9781426306532","03/23/2010","32","14.90","0508","JNF"
"141","KEITH, MICHELE","Monacelli Press","9781580932462","03/23/2010","0","50.00","0","ARC"
"142","LAINEZ, RENE COLATO","RH Childrens Books","9781582462967","03/23/2010","32","16.99","0307","JUV"
"143","SIDDALS, MARY MCKENNA","RH Childrens Books","9781582463162","03/23/2010","40","15.99","0307","JNF"
"144","HOBAN, RUSSELL","New York Review Books","9781590173435","03/23/2010","48","14.95","0408","JUV"
"145","PLACE, VANESSA","Other Press","9781590512647","03/23/2010","336","25.95","0","LAW"
"146","MARTHA STEWART LIVING MAGAZINE","Potter/TenSpeed/Harmony/Rodale","9780307450586","03/30/2010","400","35.00","0","CRA"
"147","DE LAURENTIIS, GIADA","Potter/TenSpeed/Harmony/Rodale","9780307451019","03/30/2010","240","35.00","0","CKB"
"148","NELSON, BOB","Crown","9780307587886","03/30/2010","144","19.99","0","BUS"
"149","ROSS, ALEX","Knopf","9780375714900","03/30/2010","224","30.00","0","ART"
"150","GOLDBERG, NATALIE","Shambhala","9781590307946","03/30/2010","288","18.95","0","SEL"
"151","SCHNAKENBERG, ROBERT","Quirk Books","9781594744501","04/01/2010","160","14.99","0","CKB"
"152","YOUNG, ANASTASIA","Penguin Adult HC/TR","9781596681699","04/01/2010","320","34.99","0","CRA"
"153","EMERSON, RALPH WALDO","The Library of America","9781598530681","04/01/2010","992","45.00","0","LCO"
"154","BOYD, J. KIRK","Berrett-Koehler","9781605095394","04/05/2010","240","22.95","0","POL"
"155","BRADBURY, RAY","Knopf","9780307269058","04/06/2010","1112","35.00","0","FIC"
"156","WATERS, ALICE","Potter/TenSpeed/Harmony/Rodale","9780307336804","04/06/2010","160","30.00","0","CKB"
"157","YEARWOOD, TRISHA","Potter/TenSpeed/Harmony/Rodale","9780307465238","04/06/2010","224","29.99","0","CKB"
"158","CELLINI, BENVENUTO","Knopf","9780307592743","04/06/2010","504","28.00","0","BIO"
"159","GREEN, JOHN","Penguin Young Readers","9780525421580","04/06/2010","320","19.99","14UP","YAF"
"160","VERHOEVEN, PAUL","Seven Stories Press","9781583229057","04/06/2010","304","23.95","0","REL"
"161","SARAMAGO, JOSE","Verso Books","9781844676149","04/06/2010","288","23.95","0","BIO"
"162","HAMPSON, FRANK","Titan","9781848565258","04/06/2010","112","19.95","0","REL"
"163","SHAW, DASH","Knopf","9780307378422","04/13/2010","384","27.95","0","CGN"
"164","JOHNSON, SPENCER MD","Crown","9780307719546","04/13/2010","112","19.99","0","FIC"
"165","LIONNI, LEO","RH Childrens Books","9780375857645","04/13/2010","32","16.99","0307","JUV"
"166","JACOBSON, JENNIFER RICHARD","Candlewick","9780763636005","04/13/2010","64","14.99","0508","JUV"
"167","ALMOND, DAVID","Candlewick","9780763642174","04/13/2010","128","15.99","0812","JUV"
"168","MCDONALD, ABBY","Candlewick","9780763643829","04/13/2010","304","16.99","14UP","YAF"
"169","HOLT, SHARON","Candlewick","9780763646851","04/13/2010","32","15.99","0307","JUV"
"170","DUDDLE, JONNY","Candlewick","9780763648763","04/13/2010","38","15.99","0307","JUV"
"171","LOVE, ANN","Tundra","9780887768842","04/13/2010","80","22.95","0912","JNF"
"172","KONRAD, MARLA STEWART","Tundra","9780887769979","04/13/2010","24","12.95","0307","JNF"
"173","KONRAD, MARLA STEWART","Tundra","9780887769986","04/13/2010","24","12.95","0307","JNF"
"174","QUINDLEN, ANNA","Random House Group","9781400065745","04/13/2010","320","26.00","0","FIC"
"175","SKURZYNSKI, GLORIA","National Geographic Society","9781426305979","04/13/2010","80","18.95","10UP","JNF"
"176","SKURZYNSKI, GLORIA","National Geographic Society","9781426305986","04/13/2010","80","28.90","10UP","JNF"
"177","ISADORA, RACHEL","Penguin Young Readers","9780399252303","04/15/2010","32","17.99","0305","JUV"
"178","ERSKINE, KATHRYN","Penguin Young Readers","9780399252648","04/15/2010","240","16.99","10UP","JUV"
"179","BUTLER, DANIEL","Penguin Adult HC/TR","9781585427963","04/15/2010","128","15.95","0","GAR"
"180","SENELICK, LAWRENCE","The Library of America","9781598530698","04/15/2010","850","40.00","0","PER"
"181","FOSTER, STEVEN","The Library of America","9781598530704","04/15/2010","204","20.00","0","MUS"
"182","SIMBLET, SARAH","DK.","9780756652500","04/19/2010","256","40.00","0","ART"
"183","IKE KLIGERMAN BARKLEY ARCHITEC","Monacelli Press","9781580932691","04/20/2010","256","60.00","0","ARC"
"184","MILSTEIN, JEFFREY","Monacelli Press","9781580932752","04/20/2010","128","25.00","0","PHO"
"185","SCHAFFNER, INGRID","Prestel Publishing","9783791350356","04/22/2010","144","34.95","0","ART"
"186","KHOURY, ELIAS","Steerforth Press","9780981987323","04/23/2010","303","22.00","0","FIC"
"187","MICHAELS, JILLIAN","Potter/TenSpeed/Harmony/Rodale","9780307718228","04/27/2010","288","27.00","0","CKB"
"188","HEYMANN, LOIS KAM","Ballantine Group","9780345512185","04/27/2010","256","26.00","0","FAM"
"189","WORTH, BONNIE","RH Childrens Books","9780375828836","04/27/2010","48","9.99","0408","JNF"
"190","MOORE, WES","Random House Group","9780385528191","04/27/2010","256","27.00","0","BIO"
"191","KESSLER, LIZ","Candlewick","9780763643744","04/27/2010","304","15.99","0812","JUV"
"192","VAUGHAN, BRIAN K.","DC Comics","9781401225780","04/27/2010","320","29.99","0","CGN"
"193","SWALLOW, ANDREW","Potter/TenSpeed/Harmony/Rodale","9781580080576","04/27/2010","160","28.00","0","CKB"
"194","STARK, DAVID","Monacelli Press","9781580932738","04/27/2010","224","40.00","0","REF"
"195","CARLIN, RICHARD","Smithsonian","9781588342690","04/27/2010","264","35.00","0","SOC"
"196","LL COOL J","Potter/TenSpeed/Harmony/Rodale","9781605295411","04/27/2010","240","29.99","0","HEA"
"197","KLISE, KATE","Penguin Young Readers","9780803734043","04/29/2010","32","17.99","0608","JUV"
"198","UPDIKE, JOHN","The Library of America","9781598530711","04/29/2010","64","15.00","0","SPO"
"199","UDAKA, MICHISHIGE","Kodansha USA","9784770030955","05/01/2010","160","35.00","0","PER"
"200","STOKER, BRAM","Knopf","9780307593856","05/04/2010","440","23.00","0","FIC"
"201","ESPN","Ballantine Group","9780345520838","05/04/2010","272","25.00","0","SPO"
"202","AUERBACH, ANNIE","RH Childrens Books","9780736426688","05/04/2010","24","4.99","0307","JUV"
"203","O'NEAL, CYNTHIA","Seven Stories Press","9781583229064","05/04/2010","240","22.00","0","BIO"
"204","BREATHED, BERKELEY","IDW Publishing","9781600105838","05/04/2010","304","39.99","0","HUM"
"205","TOSCANO, ALBERTO","Verso Books","9781844674244","05/04/2010","352","26.95","0","HIS"
"206","RYAN, MAXWELL","Potter/TenSpeed/Harmony/Rodale","9780307464606","05/11/2010","304","30.00","0","HOM"
"207","PEARCE, F. W.","Potter/TenSpeed/Harmony/Rodale","9780307464989","05/11/2010","176","24.99","0","CKB"
"208","PIVEN, HANOCH","RH Childrens Books","9780375853388","05/11/2010","40","17.99","0408","JUV"
"209","JACKSON, KATHRYN","RH Childrens Books","9780375854255","05/11/2010","24","4.99","0307","JUV"
"210","SHEALY, DENNIS R.","RH Childrens Books","9780375858062","05/11/2010","24","4.99","0307","JUV"
"211","AWDRY, W. REV","RH Childrens Books","9780375859502","05/11/2010","24","4.99","0205","JUV"
"212","CRAIG, LINDSEY","RH Childrens Books","9780375861819","05/11/2010","40","16.99","0307","JUV"
"213","KROSOCZKA, JARRETT J.","RH Childrens Books","9780375960956","05/11/2010","96","12.99","0812","JUV"
"214","PATRICELLI, LESLIE","Candlewick","9780763632434","05/11/2010","32","14.99","0205","JUV"
"215","LASKY, KATHRYN","Candlewick","9780763639822","05/11/2010","368","17.99","10UP","JUV"
"216","PEACOCK, SHANE","Tundra","9780887768538","05/11/2010","256","19.95","12UP","YAF"
"217","NEWHOUSE, MAXWELL","Tundra","9780887769139","05/11/2010","24","17.95","0406","JNF"
"218","MITCHELL, DON","National Geographic Society","9781426301551","05/11/2010","64","18.95","10UP","JNF"
"219","MITCHELL, DON","National Geographic Society","9781426301568","05/11/2010","64","27.90","10UP","JNF"
"220","SKERRY, BRIAN","National Geographic Society","9781426306167","05/11/2010","32","16.95","0609","JNF"
"221","MURAWSKI, DARLYNE","National Geographic Society","9781426306181","05/11/2010","32","16.95","0609","JNF"
"222","TEMPLESMITH, BEN","IDW Publishing","9781600106057","05/11/2010","132","24.99","0","CGN"
"223","AGATSTON, ARTHUR","Potter/TenSpeed/Harmony/Rodale","9781605293332","05/11/2010","320","28.99","0","CKB"
"224","VACCARIELLO, LIZ","Potter/TenSpeed/Harmony/Rodale","9781605294599","05/11/2010","320","26.99","0","CKB"
"225","FEYERABEND, PAUL","Verso Books","9781844674435","05/11/2010","304","95.00","0","SCI"
"226","MONRO, MICHELE","Titan","9781848566187","05/11/2010","656","27.95","0","BIO"
"227","GEORGE, JEAN CRAIGHEAD","Penguin Young Readers","9780525422150","05/13/2010","32","17.99","0508","JNF"
"228","CONNELLY, KAREN","Doubleday Publishing","9780385528009","05/18/2010","400","27.95","0","BIO"
"229","FLANAGAN, JOHN","Penguin Young Readers","9780399252068","05/18/2010","368","18.99","10UP","JUV"
"230","SOMAN, DAVID","Penguin Young Readers","9780803734166","05/18/2010","40","17.99","0305","JUV"
"231","WATERMAN, JONATHAN","National Geographic Society","9781426205057","05/18/2010","304","26.00","0","NAT"
"232","BEARSS, EDWIN C.","National Geographic Society","9781426205101","05/18/2010","400","28.00","0","HIS"
"233","CROWELL, ARON A.","Smithsonian","9781588342706","05/18/2010","312","50.00","0","SOC"
"234","SPYKMAN, E.C.","New York Review Books","9781590173534","05/18/2010","232","16.95","0912","JUV"
"235","RAYMOND, ALEX","IDW Publishing","9781600105821","05/18/2010","320","49.99","0","CGN"
"236","DIRGE, ROMAN","Titan","9781848562714","05/18/2010","128","17.95","0","CGN"
"237","WENZEL, ANGELA","Prestel Publishing","9783791370101","05/24/2010","48","14.95","0812","JNF"
"238","FINGER, BRAD","Prestel Publishing","9783791370156","05/24/2010","48","14.95","0812","JNF"
"239","VRY, SILKE","Prestel Publishing","9783791370262","05/24/2010","96","14.95","0609","JNF"
"240","LARSSON, STIEG","Knopf","9780307269997","05/25/2010","576","27.95","0","FIC"
"241","GRISHAM, JOHN","Penguin Young Readers","9780525423843","05/25/2010","272","17.99","0812","JUV"
"242","COUSTEAU, JEAN-MICHEL","National Geographic Society","9781426206832","05/25/2010","272","26.00","0","BIO"
"243","MOSKOW, KEITH","Monacelli Press","9781580932721","05/25/2010","224","50.00","0","ARC"
"244","NOLAN, JANET","RH Childrens Books","9781582462981","05/25/2010","32","15.99","0508","JNF"
"245","LYNCH, BRIAN","IDW Publishing","9781600104619","05/25/2010","132","24.99","0","CGN"
"246","ZIZEK, SLAVOJ","Verso Books","9781844675982","05/25/2010","432","29.95","0","PHI"
"247","JACKSON, SHIRLEY","The Library of America","9781598530728","05/27/2010","832","35.00","0","FIC"
"248","HAHN, SCOTT","Christian/Forum","9780307590770","06/01/2010","160","17.00","0","REL"
"249","NORTHRUP, CHRISTIANE MD","Bantam Dell","9780553807936","06/01/2010","960","38.00","0","HEA"
"250","OKORAFOR, NNEDI","DAW","9780756406172","06/01/2010","400","24.95","0","FIC"
"251","HERRIMAN, GEORGE","IDW Publishing","9780976888581","06/01/2010","160","100.00","0","CGN"
"252","KONIETZKO, BRYAN","Dark Horse Comics","9781595825049","06/01/2010","184","39.99","0","CGN"
"253","PIP, SCROOBIUS","Titan","9781848566170","06/01/2010","96","17.95","0","MUS"
"254","EGAN, JENNIFER","Knopf","9780307592835","06/08/2010","288","29.95","0","FIC"
"255","CRONIN, JUSTIN","Ballantine Group","9780345504968","06/08/2010","784","28.00","0","FIC"
"256","MITCHELL, TODD","Candlewick","9780763640842","06/08/2010","336","17.99","14UP","YAF"
"257","COWEN-FLETCHER, JANE","Candlewick","9780763643034","06/08/2010","32","12.99","0205","JUV"
"258","JOHNSON, MO","Candlewick","9780763647827","06/08/2010","32","15.99","0307","JUV"
"259","WEBER, JENNIFER","National Geographic Society","9781426307065","06/08/2010","64","17.95","10UP","JNF"
"260","WEBER, JENNIFER","National Geographic Society","9781426307072","06/08/2010","64","27.90","10UP","JNF"
"261","BROWNING, DIANE","RH Childrens Books","9781582463117","06/08/2010","32","15.99","0307","JUV"
"262","GRAY, HAROLD","IDW Publishing","9781600105807","06/08/2010","280","49.99","0","HUM"
"263","FURMAN, SIMON","IDW Publishing","9781600106675","06/08/2010","392","59.99","0","CGN"
"264","KERBY, JOHANNA","Penguin Young Readers","9780399254352","06/10/2010","32","16.99","0305","JNF"
"265","TEMELKURAN, ECE","Verso Books","9781844674237","06/14/2010","272","26.95","0","HIS"
"266","PHILLIPS, JOSHUA E.S.","Verso Books","9781844675999","06/14/2010","256","26.95","0","POL"
"267","WRIGHT, ERIK OLIN","Verso Books","9781844676187","06/14/2010","288","95.00","0","POL"
"268","WEST, JACQUELINE","Penguin Young Readers","9780803734401","06/15/2010","256","17.99","10UP","JUV"
"269","CORBIN, PAM","Potter/TenSpeed/Harmony/Rodale","9781580081726","06/15/2010","216","22.00","0","CKB"
"270","KENNEDY, MICHAEL DANA","Kodansha USA","9781934287804","06/15/2010","544","26.95","0","FIC"
"271","WHITE, MARCO PIERRE","Melville House","9781935554066","06/15/2010","192","24.00","0","CKB"
"272","DK","DK.","9780756663087","06/21/2010","208","16.99","0812","JNF"
"273","CANALES, JUAN DIAZ","Dark Horse Comics","9781595823939","06/22/2010","184","29.99","0","CGN"
"274","GOULD, CHESTER","IDW Publishing","9781600105784","06/22/2010","364","39.99","0","CGN"
"275","BOLGER, KEVIN","Penguin Young Readers","9781595141774","06/24/2010","208","10.99","0912","JUV"
"276","JUVIN, HERVE","Verso Books","9781844673100","06/28/2010","200","27.95","0","SOC"
"277","KIETH, SAM","DC Comics","9781401223373","06/29/2010","112","19.99","0","CGN"
